bidx,month,mean_mm,sd_mm,p10_mm,p20_mm,p50_mm,n_years
33,1,267.7445,81.47335,179.38876,209.73988,259.79355,21
33,2,308.39523,70.14173,216.36986,241.63327,321.78827,21
33,3,358.2313,69.45009,274.68506,303.88342,367.86026,21
33,4,340.69608,50.08214,291.1526,297.16718,330.50653,21
33,5,268.05545,72.66777,199.88339,209.74034,242.64499,21
33,6,155.04906,41.95174,119.56342,128.14442,148.65628,21
33,7,119.68322,40.13111,78.12723,83.62081,112.4262,21
33,8,67.88602,24.097929,43.364777,49.278366,62.39176,21
33,9,39.243427,19.346756,14.559833,22.20089,37.393,21
33,10,35.98999,20.205725,12.395457,19.751303,28.866283,21
33,11,42.24935,25.566326,14.839341,20.530174,35.494564,21
33,12,96.00311,44.21095,37.584282,52.85929,97.60953,21
34,1,205.36053,102.07197,109.45482,116.30197,199.52196,21
34,2,292.25183,123.772736,158.33238,170.84074,292.84354,21
34,3,449.98688,118.773026,325.63223,365.42398,444.46603,21
34,4,416.76288,107.014786,274.2779,341.4493,424.28314,21
34,5,288.21695,113.284706,188.30458,216.67801,285.64874,21
34,6,204.25365,74.39204,129.46947,144.67874,204.698,21
34,7,148.97263,49.484653,89.281334,101.4506,139.8491,21
34,8,56.33678,14.980276,40.01196,44.385735,54.758804,21
34,9,12.346549,6.117595,5.823607,6.6304965,10.941634,21
34,10,8.048474,6.5745835,1.5529851,2.7684798,6.725351,21
34,11,7.7910695,4.7057986,1.3845145,4.267427,7.820178,21
34,12,45.941277,25.829044,17.376602,18.34223,39.596863,21
35,1,238.22102,85.09214,163.93164,177.60918,209.24184,21
35,2,290.25082,80.236755,199.06682,231.48988,276.8121,21
35,3,393.32715,95.82563,286.55542,324.8766,389.54245,21
35,4,350.6185,59.10138,288.036,317.0982,343.41263,21
35,5,277.16248,85.13346,195.12614,210.14545,262.47116,21
35,6,180.34631,43.79787,130.54561,143.97281,189.50012,21
35,7,135.7882,37.93127,93.23204,98.39335,142.87328,21
35,8,60.022915,22.157248,36.727158,44.711533,55.1286,21
35,9,20.158163,12.047743,7.758862,8.806161,17.911514,21
35,10,19.792706,12.204113,7.103251,11.586374,15.075587,21
35,11,30.988644,19.146172,11.58772,15.186361,26.513073,21
35,12,69.4317,36.45838,28.736465,32.355953,71.43438,21
36,1,192.33331,90.1876,100.713715,142.00668,185.99747,21
36,2,295.21417,118.517876,145.42807,195.57028,320.65457,21
36,3,452.97015,129.14568,302.13138,332.3654,461.27838,21
36,4,403.04144,108.426956,297.7121,312.6322,429.79877,21
36,5,280.941,106.648254,156.08334,213.46732,278.0454,21
36,6,203.22372,61.434025,136.34271,146.39957,200.26463,21
36,7,151.19023,54.376934,99.5195,107.289795,137.45831,21
36,8,44.38847,12.9674425,33.485157,37.81978,43.40424,21
36,9,11.974269,6.8263593,4.670606,6.326983,11.3432665,21
36,10,7.214968,4.13197,2.3579323,4.0136395,7.149049,21
36,11,8.446576,4.7207103,2.67598,3.6432316,7.9286113,21
36,12,43.428333,24.403484,15.5764475,19.959332,36.649704,21
37,1,227.40662,68.53562,152.93523,171.46086,237.32637,21
