bidx,start,end,duration_days,start_year,end_year,crosses_new_year,deficit_mm,mean_intensity,max_intensity,peak_date,severe_days,wet_days_absorbed,min_p30_mm,duration_class,severity,severe_day_share
9,2024-08-24,2024-09-12,20,2024,2024,False,11.2581148147583,0.2638978064060211,0.5128973722457886,2024-08-24,11,0,36.49378967285156,short 15-29 d,severe,0.55
9,2024-11-02,2024-12-22,51,2024,2024,False,29.996889114379883,0.5331839919090271,0.932839035987854,2024-11-14,34,13,1.992469429969788,moderate 30-59 d,severe,0.667
9,2025-01-28,2025-02-11,15,2025,2025,False,12.717846870422363,0.144301176071167,0.2522736489772796,2025-01-29,3,0,121.1434097290039,short 15-29 d,moderate,0.2
9,2025-04-09,2025-05-17,39,2025,2025,False,70.14225769042969,0.1860832124948501,0.321313202381134,2025-04-29,35,0,200.13087463378903,moderate 30-59 d,severe,0.897
9,2025-10-31,2025-11-19,20,2025,2025,False,6.850185394287109,0.3497368395328522,0.5812273025512695,2025-11-16,13,0,12.973993301391602,short 15-29 d,severe,0.65
9,2025-12-09,2025-12-31,23,2025,2025,False,8.083294868469238,0.1929423511028289,0.5291285514831543,2025-12-21,5,1,24.407020568847656,short 15-29 d,moderate,0.217
10,2019-09-27,2019-10-14,18,2019,2019,False,4.439681053161621,0.3386503458023071,0.794666588306427,2019-10-10,5,1,4.320078372955322,short 15-29 d,moderate,0.278
10,2021-06-15,2021-07-09,25,2021,2021,False,20.55566024780273,0.1228979006409645,0.2829633355140686,2021-07-01,6,0,140.33135986328125,short 15-29 d,moderate,0.24
10,2022-08-17,2022-09-06,21,2022,2022,False,9.532181739807127,0.1981573551893234,0.4420472383499145,2022-09-01,12,1,34.81635284423828,short 15-29 d,severe,0.571
10,2023-03-31,2023-05-02,33,2023,2023,False,62.27766036987305,0.1863716840744018,0.4530879259109497,2023-04-15,21,4,161.18344116210938,moderate 30-59 d,severe,0.636
10,2023-09-01,2023-09-20,20,2023,2023,False,11.392905235290527,0.3223710656166076,0.6985630989074707,2023-09-08,13,2,15.300987243652344,short 15-29 d,severe,0.65
10,2023-10-22,2023-11-26,36,2023,2023,False,11.5228910446167,0.5102998614311218,0.871255099773407,2023-11-24,34,0,2.566841125488281,moderate 30-59 d,severe,0.944
10,2024-07-03,2024-07-24,22,2024,2024,False,29.925352096557617,0.2401579916477203,0.4725871384143829,2024-07-24,15,0,81.28040313720703,short 15-29 d,severe,0.682
10,2024-08-24,2024-10-02,40,2024,2024,False,18.80440139770508,0.2560882866382599,0.5508663058280945,2024-08-24,22,4,16.831682205200195,moderate 30-59 d,severe,0.55
10,2024-11-02,2024-12-07,36,2024,2024,False,16.70679473876953,0.6906333565711975,0.9694387912750244,2024-11-11,35,0,0.5742194056510925,moderate 30-59 d,severe,0.972
10,2025-01-28,2025-02-12,16,2025,2025,False,6.706591606140137,0.0619513094425201,0.1789301186800003,2025-01-30,0,3,141.01011657714844,short 15-29 d,mild,0.0
10,2025-04-21,2025-05-16,26,2025,2025,False,20.230802536010746,0.0798860415816307,0.1551343947649002,2025-05-13,18,2,236.01934814453125,short 15-29 d,severe,0.692
10,2025-07-14,2025-08-06,24,2025,2025,False,13.060803413391112,0.1004910841584205,0.4747945964336395,2025-07-20,3,3,85.35303497314453,short 15-29 d,mild,0.125
10,2025-10-29,2025-11-18,21,2025,2025,False,4.671865463256836,0.3620346486568451,0.6839913129806519,2025-11-03,11,0,5.737279891967773,short 15-29 d,severe,0.524
10,2025-12-13,2025-12-31,19,2025,2025,False,3.3949482440948486,0.0947784408926963,0.2636443674564361,2025-12-18,0,3,33.0282096862793,short 15-29 d,mild,0.0
11,2019-03-28,2019-04-18,22,2019,2019,False,18.057899475097656,0.0882650315761566,0.163374125957489,2019-04-06,8,0,230.5301818847656,short 15-29 d,moderate,0.364
11,2020-08-05,2020-08-21,17,2020,2020,False,11.874722480773926,0.1699895411729812,0.3542311787605285,2020-08-16,11,2,72.30763244628906,short 15-29 d,severe,0.647
11,2021-04-12,2021-05-15,34,2021,2021,False,40.59025192260742,0.1199245899915695,0.2359725683927536,2021-04-23,25,0,228.09912109375,moderate 30-59 d,severe,0.735
11,2022-04-30,2022-05-18,19,2022,2022,False,11.032573699951172,0.0587539114058017,0.1984039545059204,2022-05-12,6,1,236.50347900390625,short 15-29 d,moderate,0.316
